id,course_id,lesson_id,order,name,video_url,description,premium,deleted_at
1,1,1,1,コースへようこそ！,https://player.vimeo.com/video/391168857,コースを受講いただきありがとうございます！これからプロのエンジニアを目指して一緒にやっていきましょう！,0,
2,1,1,2,コースのゴール,https://player.vimeo.com/video/391168857,コースを受講後にできるようになっていることを解説します。コースを完了すれば、みなさんのキャリアが変わっています！,0,
3,1,1,3,コースを通じて作るもの,https://player.vimeo.com/video/391168857,コースを通じて、3つのプロジェクトを行った上で、最後に認定試験を行います。最終的に計4つのポートフォリオができあがっています！,0,
4,1,1,4,自走できるようになるためのロードマップ,https://player.vimeo.com/video/391168857,自走できるようになるための独自のロードマップをお伝えします！独学サーバーサイドのコースでは、このロードマップに沿って学習を進めていきます。,0,
5,1,1,5,学習にあたっての心構え,https://player.vimeo.com/video/391168857,プログラミングを学習するにあたって重要なことがいくつかあります。学習に入る前に知っておいたほうが良いことをお伝えします！,0,
6,1,1,6,【クイズ】受講後になっていたい姿を書き出そう,https://player.vimeo.com/video/391168857,学習を継続するために、自分のなりたい姿を明確にしておくのはとても大切です。自分の将来像を紙に書き出しましょう！,0,
7,1,1,7,コースの進め方,https://player.vimeo.com/video/391168857,おすすめの学習方法について紹介します！,0,
8,1,1,8,【クイズ】コースの受講ペースを決めよう,https://player.vimeo.com/video/391168857,最初にコースの受講ペースを決めておくことで、最初だけ頑張りすぎて疲れてしまったり、途中で挫折するのを防ぎます。プログラミングを習得するには長く続けられるようにしておくことが一番です。,0,
9,1,1,9,ご利用環境について,https://player.vimeo.com/video/391168857,お手元のPC環境については、MacOSはOS X 10.10 以降、WindowsはWindows 7以降をサポートしますが、基本的にはMacOSをご利用なさることを推奨します。閲覧に関しては、Google Chromeの最新版をサポートしています。,0,
10,1,1,10,このレッスンのまとめ,https://player.vimeo.com/video/391168857,レッスンでやったことを振り返ります。,0,
11,1,2,1,パートのゴール,https://player.vimeo.com/video/391168857,"パートのゴールを最初に把握しましょう！このパートでは3つのことを目指します。

* 開発環境を整えます
* 動くアプリケーションを作れるようなります
* Webサービスの仕組みの全体像を把握します
",0,
12,1,2,2,【クイズ】身につけたいスキルを書き出そう,https://player.vimeo.com/video/391168857,"【クイズ】身につけたいスキルを書き出そう

このパートで身につけたいスキルを Google スプレッドシートや Excel に書き出しましょう！

1. 最初に、前回の動画で挙げた「身につける全般的スキル」と「身につける個別技術スキル」を書き出します
2. 加えて、自分で「これは身につけたい」と思っているスキルを考え、あれば追加します
3. 講義を進めている中で定期的に見返して、スキルがちゃんと身についているか確認します。身についたと思ったらチェック印を入れましょう
4. このパートが終わったら最後に見返して、身についたスキルにチェック印を入れます。チェック印が入っていない項目があれば、再度動画を見返すか、以降のパートで身につけるようにしましょう
",0,
13,1,2,3,開発環境を整えよう,https://player.vimeo.com/video/391168857,"開発環境を整えましょう！開発環境を整えているかいないかで、開発の効率が全く変わってきます。開発するにあたって、何はともあれそのための環境を整えましょう！

今回準備するのはこの４つです。

・エディタ
・コードのバージョン管理
・仮想コンテナ
・ターミナル
",0,
14,1,2,4,おすすめのテキストエディタ「Visual Studio Code」,https://player.vimeo.com/video/391168857,"プログラミングのコードを書く時は専用のテキストエディタを使用します。

![スクリーンショット](https://dokugaku-engineer-public-file.s3-ap-northeast-1.amazonaws.com/16.05.03.png)

オススメは Visual Studio Code です！無料で高機能、軽量で人気のテキストエディタです。講義ではこちらを使用します。
",0,
15,1,2,5,Visual Studio Codeをインストールしよう（Mac）,https://player.vimeo.com/video/391168857,"Visual Studio Code をインストールします。
今回はMacが対象です。

下記リンクからダウンロードします。

[https://code.visualstudio.com/download](https://code.visualstudio.com/download)",0,
16,1,2,6,Visual Studio Codeをインストールしよう（Windows）,https://player.vimeo.com/video/391168857,おすすめのテキストエディタを紹介します。PHPを書くのであれば、Visual Studio CodeかPhpStormがイチオシです。,0,
17,1,2,7,Visual Studio Codeの初期設定をしよう（1）,https://player.vimeo.com/video/391168857,"Visual Studio Codeの拡張機能をインストールします。

今回インストールする拡張機能は以下の通りです。

◯日本語化

・Japanese Language Pack for Visual Studio Code
Vusial Studio Code 内の表記を日本語化します。

◯整形

・Bracket Pair Colorizer 2
括弧の色付けをします。

・indent-rainbow
インデントの色付けをします。

・Code Spell Checker
コードのスペルチェックをします。

◯言語特有

・HTML CSS Support
HTMLドキュメントに対するCSSのサポートを行います。

・PHP Intelephense
PHPのコード補完をします。

・Docker
Dockerの操作をサポートします。

◯表示

・Material Icon Theme
アイコンをマテリアルアイコンに変更します。

・GitHub Theme
GitHub公式のテーマです。講義では GitHub Dark テーマを使用します。こちらはお好きなものを入れてください。

※補足

拡張機能を探すときは、awesome-vscode にコミュニティが厳選した拡張機能がまとまっているので、そちらから探すと便利です。
https://github.com/viatsko/awesome-vscode
",0,
